sim_time, AUV_mk4?world_pose/position/y
50.261, 9.12612
50.262, 9.12622
50.263, 9.12632
50.264, 9.12643
50.265, 9.12653
50.266, 9.12664
50.267, 9.12674
50.268, 9.12685
50.269, 9.12695
50.27, 9.12705
50.271, 9.12716
50.272, 9.12726
50.273, 9.12737
50.274, 9.12747
50.275, 9.12758
50.276, 9.12768
50.277, 9.12779
50.278, 9.12789
50.279, 9.128
50.28, 9.1281
50.281, 9.12821
50.282, 9.12831
50.283, 9.12842
50.284, 9.12852
50.285, 9.12863
50.286, 9.12873
50.287, 9.12884
50.288, 9.12894
50.289, 9.12905
50.29, 9.12915
50.291, 9.12926
50.292, 9.12936
50.293, 9.12947
50.294, 9.12957
50.295, 9.12968
50.296, 9.12978
50.297, 9.12989
50.298, 9.13
50.299, 9.1301
50.3, 9.13021
50.301, 9.13031
50.302, 9.13042
50.303, 9.13052
50.304, 9.13063
50.305, 9.13074
50.306, 9.13084
50.307, 9.13095
50.308, 9.13106
50.309, 9.13116
50.31, 9.13127
50.311, 9.13138
50.312, 9.13149
50.313, 9.13159
50.314, 9.1317
50.315, 9.13181
50.316, 9.13191
50.317, 9.13202
50.318, 9.13213
50.319, 9.13224
50.32, 9.13234
50.321, 9.13245
50.322, 9.13256
50.323, 9.13267
50.324, 9.13277
50.325, 9.13288
50.326, 9.13299
50.327, 9.1331
50.328, 9.1332
50.329, 9.13331
50.33, 9.13342
50.331, 9.13353
50.332, 9.13364
50.333, 9.13375
50.334, 9.13386
50.335, 9.13397
50.336, 9.13407
50.337, 9.13418
50.338, 9.13429
50.339, 9.1344
50.34, 9.13451
50.341, 9.13462
50.342, 9.13473
50.343, 9.13484
50.344, 9.13495
50.345, 9.13506
50.346, 9.13517
50.347, 9.13528
50.348, 9.13539
50.349, 9.1355
50.35, 9.13561
50.351, 9.13572
50.352, 9.13583
50.353, 9.13594
50.354, 9.13605
50.355, 9.13616
50.356, 9.13627
50.357, 9.13639
50.358, 9.1365
50.359, 9.13661
50.36, 9.13672
50.361, 9.13683
50.362, 9.13694
50.363, 9.13705
50.364, 9.13717
50.365, 9.13728
50.366, 9.13739
50.367, 9.1375
50.368, 9.13761
50.369, 9.13773
50.37, 9.13784
50.371, 9.13795
50.372, 9.13806
50.373, 9.13818
50.374, 9.13829
50.375, 9.1384
50.376, 9.13852
50.377, 9.13863
50.378, 9.13874
50.379, 9.13885
50.38, 9.13897
50.381, 9.13908
50.382, 9.1392
50.383, 9.13931
50.384, 9.13942
50.385, 9.13954
50.386, 9.13965
50.387, 9.13976
50.388, 9.13988
50.389, 9.13999
50.39, 9.14011
50.391, 9.14022
50.392, 9.14034
50.393, 9.14045
50.394, 9.14057
50.395, 9.14068
50.396, 9.1408
50.397, 9.14091
50.398, 9.14103
50.399, 9.14114
50.4, 9.14126
50.401, 9.14137
50.402, 9.14149
50.403, 9.1416
50.404, 9.14172
50.405, 9.14184
50.406, 9.14195
50.407, 9.14207
50.408, 9.14218
50.409, 9.1423
50.41, 9.14242
50.411, 9.14253
50.412, 9.14265
50.413, 9.14276
50.414, 9.14288
50.415, 9.14299
50.416, 9.14311
50.417, 9.14322
50.418, 9.14334
50.419, 9.14345
50.42, 9.14357
50.421, 9.14368
50.422, 9.1438
50.423, 9.14391
50.424, 9.14403
50.425, 9.14414
50.426, 9.14425
50.427, 9.14437
50.428, 9.14448
50.429, 9.1446
50.43, 9.14471
50.431, 9.14482
50.432, 9.14494
50.433, 9.14505
50.434, 9.14516
50.435, 9.14528
50.436, 9.14539
50.437, 9.1455
50.438, 9.14561
50.439, 9.14573
50.44, 9.14584
50.441, 9.14595
50.442, 9.14606
50.443, 9.14618
50.444, 9.14629
50.445, 9.1464
50.446, 9.14651
50.447, 9.14662
50.448, 9.14674
50.449, 9.14685
50.45, 9.14696
50.451, 9.14707
50.452, 9.14718
50.453, 9.14729
50.454, 9.1474
50.455, 9.14751
50.456, 9.14762
50.457, 9.14774
50.458, 9.14785
50.459, 9.14796
50.46, 9.14807
50.461, 9.14818
50.462, 9.14829
50.463, 9.1484
50.464, 9.14851
50.465, 9.14862
50.466, 9.14873
50.467, 9.14884
50.468, 9.14895
50.469, 9.14906
50.47, 9.14917
50.471, 9.14927
50.472, 9.14938
50.473, 9.14949
50.474, 9.1496
50.475, 9.14971
50.476, 9.14982
50.477, 9.14993
50.478, 9.15004
50.479, 9.15014
50.48, 9.15025
50.481, 9.15036
50.482, 9.15047
50.483, 9.15058
50.484, 9.15068
50.485, 9.15079
50.486, 9.1509
50.487, 9.15101
50.488, 9.15111
50.489, 9.15122
50.49, 9.15133
50.491, 9.15144
50.492, 9.15154
50.493, 9.15165
50.494, 9.15176
50.495, 9.15186
50.496, 9.15197
50.497, 9.15208
50.498, 9.15218
50.499, 9.15229
50.5, 9.1524
50.501, 9.1525
50.502, 9.15261
50.503, 9.15271
50.504, 9.15282
50.505, 9.15292
50.506, 9.15303
50.507, 9.15313
50.508, 9.15324
50.509, 9.15335
50.51, 9.15345
50.511, 9.15356
50.512, 9.15366
50.513, 9.15377
50.514, 9.15387
50.515, 9.15398
50.516, 9.15408
50.517, 9.15419
50.518, 9.15429
50.519, 9.1544
50.52, 9.1545
50.521, 9.15461
50.522, 9.15471
50.523, 9.15482
50.524, 9.15492
50.525, 9.15503
50.526, 9.15513
50.527, 9.15524
50.528, 9.15534
50.529, 9.15545
50.53, 9.15555
50.531, 9.15566
50.532, 9.15576
50.533, 9.15587
50.534, 9.15597
50.535, 9.15608
50.536, 9.15618
50.537, 9.15628
50.538, 9.15639
50.539, 9.15649
50.54, 9.1566
50.541, 9.1567
50.542, 9.15681
50.543, 9.15691
50.544, 9.15702
50.545, 9.15712
50.546, 9.15723
50.547, 9.15733
