sim_time, AUV_mk4?world_pose/position/z
50.261, -0.0019292
50.262, -0.00192932
50.263, -0.00192945
50.264, -0.00192957
50.265, -0.0019297
50.266, -0.00192982
50.267, -0.00192994
50.268, -0.00193007
50.269, -0.00193019
50.27, -0.00193032
50.271, -0.00193045
50.272, -0.00193057
50.273, -0.0019307
50.274, -0.00193083
50.275, -0.00193096
50.276, -0.00193108
50.277, -0.00193121
50.278, -0.00193134
50.279, -0.00193147
50.28, -0.0019316
50.281, -0.00193173
50.282, -0.00193186
50.283, -0.00193199
50.284, -0.00193212
50.285, -0.00193225
50.286, -0.00193239
50.287, -0.00193252
50.288, -0.00193265
50.289, -0.00193278
50.29, -0.00193292
50.291, -0.00193305
50.292, -0.00193319
50.293, -0.00193332
50.294, -0.00193346
50.295, -0.00193359
50.296, -0.00193373
50.297, -0.00193386
50.298, -0.001934
50.299, -0.00193414
50.3, -0.00193427
50.301, -0.00193441
50.302, -0.00193455
50.303, -0.00193469
50.304, -0.00193483
50.305, -0.00193497
50.306, -0.00193511
50.307, -0.00193524
50.308, -0.00193538
50.309, -0.00193551
50.31, -0.00193565
50.311, -0.00193579
50.312, -0.00193592
50.313, -0.00193606
50.314, -0.00193619
50.315, -0.00193633
50.316, -0.00193646
50.317, -0.0019366
50.318, -0.00193673
50.319, -0.00193687
50.32, -0.001937
50.321, -0.00193714
50.322, -0.00193727
50.323, -0.00193741
50.324, -0.00193754
50.325, -0.00193768
50.326, -0.00193781
50.327, -0.00193795
50.328, -0.00193808
50.329, -0.00193822
50.33, -0.00193835
50.331, -0.00193848
50.332, -0.00193862
50.333, -0.00193875
50.334, -0.00193888
50.335, -0.00193901
50.336, -0.00193914
50.337, -0.00193928
50.338, -0.00193941
50.339, -0.00193954
50.34, -0.00193967
50.341, -0.0019398
50.342, -0.00193993
50.343, -0.00194006
50.344, -0.00194019
50.345, -0.00194032
50.346, -0.00194044
50.347, -0.00194057
50.348, -0.0019407
50.349, -0.00194083
50.35, -0.00194096
50.351, -0.00194108
50.352, -0.00194121
50.353, -0.00194134
50.354, -0.00194147
50.355, -0.00194159
50.356, -0.00194172
50.357, -0.00194184
50.358, -0.00194197
50.359, -0.0019421
50.36, -0.00194222
50.361, -0.00194235
50.362, -0.00194247
50.363, -0.00194259
50.364, -0.00194272
50.365, -0.00194284
50.366, -0.00194297
50.367, -0.00194309
50.368, -0.00194321
50.369, -0.00194333
50.37, -0.00194346
50.371, -0.00194358
50.372, -0.0019437
